seed1,seed2,strategy,strategy_detail,seeding_approach,global_seed_flag,trial,final_loss,train_rmse,train_mae,train_mape,val_rmse,val_mae,val_mape,is_diagonal
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,0,2167550.0,584.0549677015778,420.54471261160717,8.221232882563111,380.34098543852747,332.256103515625,5.395889841967233,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,1,2136972.0,526.9822538986557,398.48953683035717,7.586909592040645,509.03955510523684,444.2417805989583,7.1325743534781205,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,2,2147743.5,547.440003203065,399.3277064732143,7.724911014645995,440.4983025340247,380.85302734375,6.133177952110333,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,3,2283538.5,541.56873137319,396.88364955357144,7.65496804583526,454.9944499630989,391.2216796875,6.290485935601049,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,4,2234546.5,578.8009922186664,417.70082310267856,8.15616708111364,386.92293201974775,338.228271484375,5.486496573593084,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,5,2232841.5,536.7826901534931,396.73809523809524,7.626899181375888,468.85764775930716,402.0335286458333,6.4571725028056,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,6,2265664.75,556.209017455017,404.01646205357144,7.842259070968928,422.2959066659284,367.269287109375,5.927092270607156,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,7,2246508.0,563.4006814338577,408.6246047247024,7.9485108339073545,409.55473761952413,357.288330078125,5.775666205594972,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,8,2285489.25,594.8465618684282,426.08519345238096,8.34799442698619,368.29348515398493,320.62109375,5.219369319970127,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,9,2223684.25,617.1687551831628,438.70103236607144,8.623998282058281,348.61103719846454,298.59130859375,4.885144488740996,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,10,2166765.0,663.0357085129202,472.9311755952381,9.314220993244863,325.393297026594,267.09765625,4.419866437461458,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,11,2024008.875,587.549254058408,422.3798363095238,8.263218970204345,376.23393912439104,328.40234375,5.337422535176534,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,12,2079478.75,578.7544317802215,417.6751302083333,8.155579249287937,386.98356621618035,338.2822265625,5.487315152927943,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,13,2243045.0,558.6305488392786,405.5185546875,7.8774470199377085,417.817300161113,363.81103515625,5.874625409619495,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,14,2113122.25,579.4585789585643,418.06273251488096,8.164447264251248,386.071033274579,337.46826171875,5.4749660873061385,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,15,2161057.0,564.6380561927608,409.4036458333333,7.9663346396269565,407.5216001063289,355.65234375,5.750845843047967,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,16,2072707.625,601.4559893682457,429.9212239583333,8.43213594571212,361.7834360799616,313.84619140625,5.116583905751447,True
456,456,same_seeds,both_layers_seed_456,layer_specific_same,False,17,2073040.25,576.8660340738959,416.6253255208333,8.131560600482086,389.47855917689463,340.48681640625,5.520762082311535,True
