config,mean_rmse,median_rmse,std_rmse,cv_rmse,mean_median_diff,mean_median_ratio,rank_by_mean,rank_by_median,rank_difference
lookback_7_bs_32_epochs_50,2621.983398314483,1780.8209186680142,3402.515655173528,1.2976877189080613,841.1624796464689,1.4723453497365846,178.0,97.0,81.0
lookback_8_bs_48_epochs_150,1845.893103559892,1782.0627122729004,1113.53945333783,0.6032524045895814,63.8303912869917,1.035818263211164,62.0,98.0,36.0
lookback_7_bs_16_epochs_200,1904.39210100391,1783.4096474338944,1397.4062307022853,0.7337807324267074,120.98245357001565,1.0678377251934768,73.0,99.0,26.0
lookback_12_bs_16_epochs_200,1755.4810491014646,1785.440924992374,872.3783073945453,0.4969454428693881,29.959875890909416,0.9832199007698688,41.0,100.0,59.0
lookback_12_bs_32_epochs_100,2166.5585670476794,1797.4623515795272,1401.656076848954,0.6469504670528982,369.0962154681522,1.2053429464844188,114.0,101.0,13.0
lookback_24_bs_48_epochs_100,2385.4138183608056,1800.819647024408,2593.922345504463,1.0874097926065251,584.5941713363977,1.3246267177850677,146.0,102.0,44.0
lookback_10_bs_32_epochs_100,2131.4066639942266,1801.4020086402872,1621.1703852733424,0.7606105454485591,330.00465535393937,1.1831932315891163,107.0,103.0,4.0
lookback_8_bs_16_epochs_100,1928.205487711647,1806.6482804343357,1127.8232419575763,0.5849082212166364,121.55720727731136,1.0672832717877372,79.0,104.0,25.0
lookback_12_bs_16_epochs_50,3436.7603368267464,1820.2518835938556,4477.349039194856,1.3027818644255285,1616.5084532328908,1.8880685512827493,206.0,105.0,101.0
lookback_10_bs_48_epochs_50,2518.2832223397386,1821.4819330273656,2109.22787877408,0.8375657908781187,696.801289312373,1.382546363308839,169.0,106.0,63.0
lookback_5_bs_8_epochs_50,2488.335448709119,1823.9162416076765,3243.944401496528,1.3036604060675976,664.4192071014427,1.3642816440495074,164.0,107.0,57.0
