Date,Actual,SARIMA_Mean,SARIMA_CI_Lower,SARIMA_CI_Upper,SARIMA_PI_Lower,SARIMA_PI_Upper,Transformer_Mean,Transformer_CI_Lower,Transformer_CI_Upper,Transformer_PI_Lower,Transformer_PI_Upper,Dataset,Horizon,Horizon_Months
2019-03-01,6123.0,5981.557058528465,5981.557058528465,5981.557058528465,3613.583190287171,8349.53092676976,5759.9194,5729.5615,5790.2773,2851.0215,8668.817,Train,2020-2022,36
2019-04-01,5730.0,5873.147123087458,5873.147123087457,5873.147123087459,3505.1732548461637,8241.120991328751,5783.293,5755.1807,5811.4053,2874.395,8692.191,Train,2020-2022,36
2019-05-01,6015.0,5910.126560974204,5910.126560974204,5910.126560974204,3542.15269273291,8278.100429215498,5758.0654,5738.9106,5777.22,2849.1675,8666.963,Train,2020-2022,36
2019-06-01,5989.0,6027.729960717401,6027.7299607174,6027.729960717402,3659.756092476107,8395.703828958694,5810.949,5776.054,5845.844,2902.0513,8719.848,Train,2020-2022,36
2019-07-01,6333.0,6105.314685839513,6105.314685839513,6105.314685839513,3737.340817598219,8473.288554080807,5835.9917,5808.052,5863.9316,2927.0938,8744.89,Train,2020-2022,36
2019-08-01,6388.0,6206.31918870199,6206.319188701989,6206.319188701991,3838.3453204606963,8574.293056943285,5889.0986,5847.3477,5930.8496,2980.2007,8797.996,Train,2020-2022,36
2019-09-01,6048.0,6061.810489751041,6061.81048975104,6061.810489751042,3693.836621509747,8429.784357992336,5924.2095,5878.9355,5969.4834,3015.3115,8833.107,Train,2020-2022,36
2019-10-01,6322.0,6032.306352190003,6032.306352190003,6032.306352190003,3664.332483948709,8400.280220431297,5968.592,5931.987,6005.197,3059.6938,8877.49,Train,2020-2022,36
2019-11-01,6405.0,6007.895229225046,6007.895229225046,6007.895229225046,3639.921360983752,8375.86909746634,5981.766,5930.728,6032.804,3072.8682,8890.664,Train,2020-2022,36
2019-12-01,6523.0,6708.759713084553,6708.759713084553,6708.759713084553,4340.78584484326,9076.733581325847,6020.459,5965.982,6074.936,3111.561,8929.357,Train,2020-2022,36
